	plateID	well	CONCuM	Summary
36	plate_1	D01	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
37	plate_1	D02	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
38	plate_1	D03	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
39	plate_1	D04	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
40	plate_1	D05	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
41	plate_1	D06	Media control	
42	plate_1	D07	Media control	
43	plate_1	D08	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
44	plate_1	D09	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
45	plate_1	D10	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
46	plate_1	D11	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
47	plate_1	D12	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
48	plate_1	E01	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
49	plate_1	E02	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
50	plate_1	E03	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
51	plate_1	E04	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
52	plate_1	E05	Media control	
53	plate_1	E06	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
54	plate_1	E07	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
55	plate_1	E08	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
56	plate_1	E09	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
57	plate_1	E10	Media control	
58	plate_1	E11	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
59	plate_1	E12	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
60	plate_1	F01	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
61	plate_1	F02	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
62	plate_1	F03	Media control	
63	plate_1	F04	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
64	plate_1	F05	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
65	plate_1	F06	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
66	plate_1	F07	Media control	
67	plate_1	F08	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
68	plate_1	F09	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
69	plate_1	F10	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
70	plate_1	F11	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
71	plate_1	F12	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
72	plate_1	G01	Media control	
73	plate_1	G02	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
74	plate_1	G03	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
75	plate_1	G04	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
76	plate_1	G05	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
77	plate_1	G06	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
78	plate_1	G07	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
79	plate_1	G08	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
80	plate_1	G09	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
81	plate_1	G10	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
82	plate_1	G11	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
83	plate_1	G12	Media control	
84	plate_1	H01	L-glutamate: 10 mM & sodium arsenite: 0.5 mM	Growth with 10 mM L-glutamate and 0.5 mM sodium arsenite.
85	plate_1	H02	L-glutamate: 0 mM & sodium arsenite: 0.5 mM	Growth with 0.5 mM sodium arsenite, no glutamate supplementation.
86	plate_1	H03	L-glutamate: 5 mM & sodium arsenite: 0.5 mM	Growth with 5 mM L-glutamate and 0.5 mM sodium arsenite.
87	plate_1	H04	Media control	
88	plate_1	H05	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
89	plate_1	H06	L-glutamate: 0 mM & sodium arsenite: 0 mM	Baseline growth without any supplementation or treatment.
90	plate_1	H07	L-glutamate: 5 mM & sodium arsenite: 0 mM	Growth with 5 mM L-glutamate supplementation, no sodium arsenite.
91	plate_1	H08	L-glutamate: 0 mM & sodium arsenite: 1 mM	Growth with 1 mM sodium arsenite, no glutamate supplementation.
92	plate_1	H09	L-glutamate: 10 mM & sodium arsenite: 1 mM	Growth with 10 mM L-glutamate and 1 mM sodium arsenite.
93	plate_1	H10	L-glutamate: 10 mM & sodium arsenite: 0 mM	Growth with 10 mM L-glutamate supplementation, no sodium arsenite.
94	plate_1	H11	Media control	
95	plate_1	H12	L-glutamate: 5 mM & sodium arsenite: 1 mM	Growth with 5 mM L-glutamate and 1 mM sodium arsenite.
